"timestamp","wait_time","acayear"
"2015-03-05 22:21:33",40,"2014-2015"
"2015-03-05 21:52:56",45,"2014-2015"
"2015-03-05 21:11:49",45,"2014-2015"
"2015-03-05 20:43:24",35,"2014-2015"
"2015-03-05 20:03:47",35,"2014-2015"
"2015-03-05 19:29:15",35,"2014-2015"
"2015-03-05 19:04:16",0,"2014-2015"
"2015-03-05 01:10:09",30,"2014-2015"
"2015-03-05 00:39:57",40,"2014-2015"
"2015-03-04 23:34:51",55,"2014-2015"
"2015-03-04 23:04:06",50,"2014-2015"
"2015-03-04 22:32:39",45,"2014-2015"
"2015-03-04 22:02:41",30,"2014-2015"
"2015-03-04 21:32:05",45,"2014-2015"
"2015-03-04 21:02:46",35,"2014-2015"
"2015-03-04 20:31:47",40,"2014-2015"
"2015-03-04 20:01:47",35,"2014-2015"
"2015-03-04 19:31:18",40,"2014-2015"
"2015-03-04 19:00:12",0,"2014-2015"
"2015-03-04 01:38:28",25,"2014-2015"
"2015-03-04 00:57:21",37.5,"2014-2015"
"2015-03-04 00:19:22",37.5,"2014-2015"
"2015-03-03 22:52:06",35,"2014-2015"
"2015-03-03 22:08:32",52.5,"2014-2015"
"2015-03-03 21:34:12",40,"2014-2015"
"2015-03-03 20:44:39",27.5,"2014-2015"
"2015-03-03 20:00:54",40,"2014-2015"
"2015-03-03 19:30:34",40,"2014-2015"
"2015-03-03 19:01:26",0,"2014-2015"
"2015-03-02 23:58:36",40,"2014-2015"
"2015-03-02 22:41:55",45,"2014-2015"
"2015-03-02 22:14:07",40,"2014-2015"
"2015-03-02 21:32:11",55,"2014-2015"
"2015-03-02 21:04:22",45,"2014-2015"
"2015-03-02 20:31:44",47.5,"2014-2015"
"2015-03-02 19:56:34",55,"2014-2015"
"2015-03-02 19:18:06",40,"2014-2015"
"2015-03-02 19:02:30",0,"2014-2015"
"2015-03-02 00:43:22",30,"2014-2015"
"2015-03-02 00:15:36",35,"2014-2015"
"2015-03-01 23:35:53",40,"2014-2015"
"2015-03-01 22:46:51",40,"2014-2015"
"2015-03-01 22:13:25",45,"2014-2015"
"2015-03-01 21:38:15",40,"2014-2015"
"2015-03-01 21:11:56",35,"2014-2015"
"2015-03-01 20:38:46",30,"2014-2015"
"2015-03-01 19:43:00",30,"2014-2015"
"2015-03-01 19:04:09",0,"2014-2015"
"2015-03-01 00:32:04",35,"2014-2015"
"2015-03-01 00:10:49",45,"2014-2015"
"2015-02-28 23:33:07",55,"2014-2015"
"2015-02-28 22:59:22",45,"2014-2015"
"2015-02-28 22:25:58",40,"2014-2015"
"2015-02-28 21:57:42",25,"2014-2015"
"2015-02-28 21:19:49",15,"2014-2015"
"2015-02-28 20:45:12",17.5,"2014-2015"
"2015-02-28 20:21:30",10.5,"2014-2015"
"2015-02-28 19:44:42",25,"2014-2015"
"2015-02-28 19:07:12",35,"2014-2015"
"2015-02-28 19:00:59",0,"2014-2015"
"2015-02-28 00:15:41",45,"2014-2015"
"2015-02-27 23:42:50",45,"2014-2015"
"2015-02-27 22:48:29",25,"2014-2015"
"2015-02-27 22:20:54",45,"2014-2015"
"2015-02-27 21:22:12",35,"2014-2015"
"2015-02-27 20:47:50",40,"2014-2015"
"2015-02-27 20:17:06",40,"2014-2015"
"2015-02-27 19:27:15",40,"2014-2015"
"2015-02-27 19:00:12",0,"2014-2015"
"2015-02-27 01:46:02",20,"2014-2015"
"2015-02-27 01:10:57",30,"2014-2015"
"2015-02-27 00:39:55",30,"2014-2015"
"2015-02-27 00:06:50",35,"2014-2015"
"2015-02-26 23:36:06",47.5,"2014-2015"
"2015-02-26 22:52:52",50,"2014-2015"
"2015-02-26 21:32:24",52.5,"2014-2015"
"2015-02-26 20:59:02",55,"2014-2015"
"2015-02-26 20:30:25",47.5,"2014-2015"
"2015-02-26 20:00:46",45,"2014-2015"
"2015-02-26 19:05:38",0,"2014-2015"
"2015-02-26 01:22:26",37.5,"2014-2015"
"2015-02-26 00:16:34",52.5,"2014-2015"
"2015-02-25 23:42:13",67.5,"2014-2015"
"2015-02-25 22:49:26",15,"2014-2015"
"2015-02-25 21:49:46",10,"2014-2015"
"2015-02-25 21:14:29",60,"2014-2015"
"2015-02-25 20:37:46",50,"2014-2015"
"2015-02-25 20:03:03",20,"2014-2015"
"2015-02-25 19:27:24",60,"2014-2015"
"2015-02-25 19:01:13",0,"2014-2015"
"2015-02-25 01:41:50",25,"2014-2015"
"2015-02-25 00:44:35",35,"2014-2015"
"2015-02-25 00:00:40",35,"2014-2015"
"2015-02-24 23:11:53",55,"2014-2015"
"2015-02-24 22:35:44",40,"2014-2015"
"2015-02-24 21:59:41",40,"2014-2015"
"2015-02-24 21:05:10",55,"2014-2015"
"2015-02-24 20:31:17",40,"2014-2015"
"2015-02-24 19:33:38",45,"2014-2015"
"2015-02-24 19:01:50",0,"2014-2015"
"2015-02-23 23:16:48",45,"2014-2015"
"2015-02-23 20:29:57",55,"2014-2015"
"2015-02-23 19:56:09",35,"2014-2015"
"2015-02-23 19:20:37",40,"2014-2015"
"2015-02-23 19:00:50",0,"2014-2015"
"2015-02-23 01:43:03",20,"2014-2015"
"2015-02-23 01:06:42",25,"2014-2015"
"2015-02-23 00:32:23",25,"2014-2015"
"2015-02-23 00:05:22",30,"2014-2015"
"2015-02-22 23:35:14",40,"2014-2015"
"2015-02-22 22:32:21",40,"2014-2015"
"2015-02-22 22:04:54",35,"2014-2015"
"2015-02-22 21:33:14",35,"2014-2015"
"2015-02-22 21:01:46",40,"2014-2015"
"2015-02-22 20:29:27",30,"2014-2015"
"2015-02-22 20:01:10",30,"2014-2015"
"2015-02-22 19:41:14",30,"2014-2015"
"2015-02-22 19:12:00",35,"2014-2015"
"2015-02-22 19:00:20",0,"2014-2015"
"2015-02-22 01:40:04",17.5,"2014-2015"
"2015-02-22 01:09:35",10,"2014-2015"
"2015-02-22 00:42:01",15,"2014-2015"
"2015-02-22 00:15:27",10,"2014-2015"
"2015-02-21 22:42:23",45,"2014-2015"
"2015-02-21 22:10:36",45,"2014-2015"
"2015-02-21 21:35:44",40,"2014-2015"
"2015-02-21 21:00:17",30,"2014-2015"
"2015-02-21 20:11:07",10,"2014-2015"
"2015-02-21 19:31:30",20,"2014-2015"
"2015-02-21 18:59:27",0,"2014-2015"
"2015-02-21 00:58:45",40,"2014-2015"
"2015-02-21 00:26:29",45,"2014-2015"
"2015-02-20 23:33:10",35,"2014-2015"
"2015-02-20 23:02:35",35,"2014-2015"
"2015-02-20 21:53:21",40,"2014-2015"
"2015-02-20 21:18:43",35,"2014-2015"
"2015-02-20 20:31:27",30,"2014-2015"
"2015-02-20 19:42:56",35,"2014-2015"
"2015-02-20 19:09:34",0,"2014-2015"
"2015-02-20 01:24:52",30,"2014-2015"
"2015-02-20 00:45:57",35,"2014-2015"
"2015-02-20 00:11:44",40,"2014-2015"
"2015-02-19 23:00:59",45,"2014-2015"
"2015-02-19 22:26:05",47.5,"2014-2015"
"2015-02-19 21:37:40",60,"2014-2015"
"2015-02-19 21:02:51",45,"2014-2015"
"2015-02-19 20:35:52",45,"2014-2015"
"2015-02-19 20:05:04",35,"2014-2015"
"2015-02-19 19:30:21",40,"2014-2015"
"2015-02-19 19:00:34",0,"2014-2015"
"2015-02-19 01:31:15",47.5,"2014-2015"
"2015-02-19 00:29:46",60,"2014-2015"
"2015-02-18 23:30:19",52.5,"2014-2015"
"2015-02-18 22:05:42",60,"2014-2015"
"2015-02-18 21:47:06",70,"2014-2015"
"2015-02-18 20:01:38",20.5,"2014-2015"
"2015-02-18 19:01:25",0,"2014-2015"
"2015-02-18 01:50:16",20,"2014-2015"
"2015-02-18 01:22:11",10,"2014-2015"
"2015-02-18 00:35:35",35,"2014-2015"
"2015-02-17 23:51:10",35,"2014-2015"
"2015-02-17 23:11:58",45,"2014-2015"
"2015-02-17 22:40:29",40,"2014-2015"
"2015-02-17 21:59:53",30,"2014-2015"
"2015-02-17 21:35:54",40,"2014-2015"
"2015-02-17 21:09:02",45,"2014-2015"
"2015-02-17 20:37:13",40,"2014-2015"
"2015-02-17 20:00:45",30,"2014-2015"
"2015-02-17 19:31:55",40,"2014-2015"
"2015-02-17 19:04:13",0,"2014-2015"
"2015-02-17 01:27:39",15,"2014-2015"
"2015-02-17 00:56:46",30,"2014-2015"
"2015-02-17 00:17:36",40,"2014-2015"
"2015-02-16 23:03:08",45,"2014-2015"
"2015-02-16 21:55:08",45,"2014-2015"
"2015-02-16 20:35:44",40,"2014-2015"
"2015-02-16 20:03:14",35,"2014-2015"
"2015-02-16 19:28:30",35,"2014-2015"
"2015-02-16 19:00:12",0,"2014-2015"
"2015-02-16 01:51:34",25,"2014-2015"
"2015-02-16 01:20:40",25,"2014-2015"
"2015-02-16 01:01:26",30,"2014-2015"
"2015-02-16 00:13:09",35,"2014-2015"
"2015-02-15 22:43:20",30,"2014-2015"
"2015-02-15 21:59:17",40,"2014-2015"
"2015-02-15 20:50:55",40,"2014-2015"
"2015-02-15 19:36:56",40,"2014-2015"
"2015-02-15 19:02:09",0,"2014-2015"
"2015-02-15 01:22:08",17.5,"2014-2015"
"2015-02-15 00:43:30",22.5,"2014-2015"
"2015-02-15 00:12:07",37.5,"2014-2015"
"2015-02-14 23:41:31",40,"2014-2015"
"2015-02-14 23:01:34",42.5,"2014-2015"
"2015-02-14 22:28:29",40,"2014-2015"
"2015-02-14 21:59:33",35,"2014-2015"
"2015-02-14 20:55:57",20,"2014-2015"
"2015-02-14 20:26:27",25,"2014-2015"
"2015-02-14 19:46:39",35,"2014-2015"
"2015-02-14 19:10:31",35,"2014-2015"
"2015-02-14 19:00:53",0,"2014-2015"
"2015-02-14 00:31:54",52.5,"2014-2015"
"2015-02-14 00:03:10",40,"2014-2015"
"2015-02-13 23:42:58",40,"2014-2015"
"2015-02-13 22:35:44",40,"2014-2015"
"2015-02-13 22:10:46",40,"2014-2015"
"2015-02-13 21:35:55",40,"2014-2015"
"2015-02-13 21:01:52",30,"2014-2015"
"2015-02-13 20:31:33",35,"2014-2015"
"2015-02-13 20:09:20",35,"2014-2015"
"2015-02-13 19:34:10",40,"2014-2015"
"2015-02-13 19:00:06",0,"2014-2015"
"2015-02-13 01:27:27",30,"2014-2015"
"2015-02-13 00:12:36",47.5,"2014-2015"
"2015-02-12 23:43:04",50,"2014-2015"
"2015-02-12 23:02:49",40,"2014-2015"
"2015-02-12 21:46:47",40,"2014-2015"
"2015-02-12 20:59:38",40,"2014-2015"
"2015-02-12 20:31:11",45,"2014-2015"
"2015-02-12 20:00:25",42.5,"2014-2015"
"2015-02-12 19:31:17",35,"2014-2015"
"2015-02-12 19:07:19",0,"2014-2015"
"2015-02-12 01:23:02",45,"2014-2015"
"2015-02-12 00:54:58",30,"2014-2015"
"2015-02-12 00:21:23",37.5,"2014-2015"
"2015-02-11 23:45:49",40,"2014-2015"
"2015-02-11 23:15:23",47.5,"2014-2015"
"2015-02-11 21:36:15",40,"2014-2015"
"2015-02-11 21:02:23",60,"2014-2015"
"2015-02-11 20:32:02",45,"2014-2015"
"2015-02-11 20:00:39",35,"2014-2015"
"2015-02-11 19:30:51",40,"2014-2015"
"2015-02-11 19:00:08",0,"2014-2015"
"2015-02-11 01:06:47",20,"2014-2015"
"2015-02-11 00:29:59",15,"2014-2015"
"2015-02-10 23:58:42",30,"2014-2015"
"2015-02-10 23:10:19",35,"2014-2015"
"2015-02-10 22:07:48",40,"2014-2015"
"2015-02-10 21:27:52",40,"2014-2015"
"2015-02-10 20:53:30",25,"2014-2015"
"2015-02-10 20:22:01",25,"2014-2015"
"2015-02-10 19:48:14",25,"2014-2015"
"2015-02-10 19:05:25",0,"2014-2015"
"2015-02-09 23:21:34",25,"2014-2015"
"2015-02-09 22:25:06",37.5,"2014-2015"
"2015-02-09 21:56:33",45,"2014-2015"
"2015-02-09 21:07:50",35,"2014-2015"
"2015-02-09 20:11:44",45,"2014-2015"
"2015-02-09 19:48:34",50,"2014-2015"
"2015-02-09 19:01:11",0,"2014-2015"
"2015-02-09 01:13:45",25,"2014-2015"
"2015-02-08 23:48:53",47.5,"2014-2015"
"2015-02-08 23:22:43",30,"2014-2015"
"2015-02-08 21:48:25",40,"2014-2015"
"2015-02-08 21:21:56",27.5,"2014-2015"
"2015-02-08 20:22:29",30,"2014-2015"
"2015-02-08 19:55:23",35,"2014-2015"
"2015-02-08 19:19:20",20,"2014-2015"
"2015-02-08 19:00:21",0,"2014-2015"
"2015-02-08 01:11:59",10,"2014-2015"
"2015-02-08 00:07:01",35,"2014-2015"
"2015-02-07 23:34:52",27.5,"2014-2015"
"2015-02-07 23:03:42",30,"2014-2015"
"2015-02-07 22:42:32",25,"2014-2015"
"2015-02-07 22:31:24",25,"2014-2015"
