"hour","n","mean","sd","se","lci","uci"
19,1298,21.3031587057011,17.1447409176356,0.475875756736623,20.3704593613816,22.2358580500206
20,1005,30.8601990049751,14.6789720036474,0.463033711509102,29.9526696067894,31.7677284031609
21,925,34.6189189189189,14.4398445761757,0.474779165034009,33.6883688548423,35.5494689829956
22,840,38.4208333333333,14.4069074206195,0.497085531380166,37.4465635945923,39.3951030720744
23,758,40.3199208443272,14.4646048747039,0.525378107568269,39.2901986752276,41.3496430134268
24,774,36.7487080103359,13.6392427940424,0.490252458292203,35.787830848751,37.7095851719209
25,717,26.3319386331939,12.1790069522354,0.454833349318361,25.4404816495622,27.2233956168256
26,79,14.3101265822785,8.58789540106707,0.966213721015881,12.4163824877189,16.203870676838
